Version,str
VCF0737,float
VCF0738,float
VCF0738a,float
VCF0739,float
VCF0740,float
VCF0741,float
VCF0742,float
VCF0743,float
VCF0744,float
VCF0745,float
VCF0746,float
VCF0747,float
VCF0748,float
VCF0749,float
VCF0750,float
VCF0801,float
VCF0803,float
VCF0804,float
VCF0805,float
VCF0806,float
VCF0808,float
VCF0809,float
VCF0811,float
VCF0813,float
VCF0814,float
VCF0815,float
VCF0816,float
VCF0817,float
VCF0818,float
VCF0819,float
VCF0820,float
VCF0821,float
VCF0822,float
VCF0823,float
VCF0824,float
VCF0825,float
VCF0826,float
VCF0827,float
VCF0827a,float
VCF0828,float
VCF0829,float
VCF0830,float
VCF0832,float
VCF0833,float
VCF0834,float
VCF0836,float
VCF0837,float
VCF0838,float
VCF0839,float
VCF0840,float
VCF0841,float
VCF0842,float
VCF0843,float
VCF0844,float
VCF0845,float
VCF0846,float
VCF0847,float
VCF0848,float
VCF0848a,float
VCF0849,float
VCF0850,float
VCF0851,float
VCF0852,float
VCF0853,float
VCF0854,float
VCF0860,float
VCF0861,float
VCF0862,float
VCF0863,float
VCF0864,float
VCF0865,float
VCF0866,float
VCF0867,float
VCF0867a,float
VCF0870,float
VCF0871,float
VCF0872,float
VCF0873,float
VCF0875,float
VCF0875a,float
VCF0875b,float
VCF0876,float
VCF0876a,float
VCF0877,float
VCF0877a,float
VCF0878,float
VCF0879,float
VCF0879a,float
VCF0880,float
VCF0880a,float
VCF0880b,float
VCF0881,float
VCF0886,float
VCF0887,float
VCF0888,float
VCF0889,float
VCF0890,float
VCF0891,float
VCF0892,float
VCF0893,float
VCF0894,float
VCF0900,float
VCF0900a,float
VCF0900b,float
VCF0900c,float
VCF0901,float
VCF0901a,float
VCF0901b,float
VCF0902,float
VCF0903,float
VCF0904,float
VCF0905,float
VCF0906,float
VCF0907,float
VCF0908,float
VCF0909,float
VCF0910,float
VCF0911,float
VCF0912,float
VCF0913,float
VCF0914,float
VCF0915,float
VCF0916,float
VCF0917,float
VCF0918,float
VCF0919,float
VCF0920,float
VCF0921,float
VCF0922,float
VCF0923,float
VCF0924,float
VCF0925,float
VCF0926,float
VCF0927,float
VCF0928,float
VCF0929,float
VCF0930,float
VCF0931,float
VCF0932,float
VCF0933,float
VCF0934,float
VCF0935,float
VCF0936,float
VCF0937,float
VCF0938,float
VCF0939,float
VCF0940,float
VCF0941,float
VCF0942,float
VCF0943,float
VCF0944,float
VCF0945,float
VCF0946,float
VCF0946a,float
VCF0947,float
VCF0947a,float
VCF0948,float
VCF0948a,float
VCF0949,float
VCF0949a,float
VCF0950,float
VCF0951,float
VCF0952,float
VCF0953,float
VCF0954,float
VCF0955,float
VCF0956,float
VCF0957,float
VCF0958,float
VCF0959,float
VCF0960,float
VCF0961,float
VCF0962,float
VCF0963,float
VCF0964,float
VCF0965,float
VCF0966,float
VCF0967,float
VCF0968,float
VCF0969,float
VCF0970,float
VCF0971,float
VCF0972,float
VCF0973,float
VCF0974,float
VCF0975,float
VCF0976,float
VCF0977,float
VCF0978,float
VCF0980,float
VCF0981,float
VCF0982,float
VCF0983,float
VCF0984,float
VCF0985,float
VCF0986,float
VCF0987,float
VCF0988,float
VCF0989,float
VCF0990,float
VCF0991,float
VCF0992,float
VCF0993,float
VCF0994,float
VCF0995,float
VCF0996,float
VCF0997,float
VCF0998,float
VCF0999,float
VCF1000,float
VCF1001,float
VCF1002,float
VCF1003,float
VCF1004,float
VCF1005,float
VCF1006,float
VCF1007,float
VCF1008,float
VCF1009,float
VCF1010,float
VCF1011,float
VCF1012,float
VCF1013,float
VCF1014,float
VCF1015,float
VCF1016,float
VCF1017,float
VCF1018,float
VCF1020,float
VCF1021a,float
VCF1021b,float
VCF1022a,float
VCF1022b,float
VCF1023a,float
VCF1023b,float
VCF1024a,float
VCF1024b,float
VCF1025a,float
VCF1025b,float
VCF1026,float
VCF1027a,float
VCF1027b,float
VCF1028a,float
VCF1028b,float
VCF1029a,float
VCF1029b,float
VCF1030a,float
VCF1030b,float
VCF1031a,float
VCF1031b,float
VCF1032,float
VCF1033a,float
VCF1033b,float
VCF1034a,float
VCF1034b,float
VCF1035a,float
VCF1035b,float
VCF1036a,float
VCF1036b,float
VCF1037a,float
VCF1037b,float
VCF1038,float
VCF1039a,float
VCF1039b,float
VCF1040a,float
VCF1040b,float
VCF1041a,float
VCF1041b,float
VCF1042a,float
VCF1042b,float
VCF1043a,float
VCF1043b,float
VCF9001,float
VCF9002,float
VCF9003,float
VCF9004,float
VCF9005,float
VCF9006,float
VCF9007,float
VCF9008,float
VCF9009,float
VCF9010,float
VCF9011,float
VCF9012,float
VCF9013,float
VCF9014,float
VCF9015,float
VCF9016,float
VCF9017,float
VCF9018,float
VCF9019,float
VCF9020,float
VCF9021,float
VCF9022,float
VCF9023,float
VCF9024,float
VCF9025,float
VCF9026,float
VCF9027,float
VCF9028,float
VCF9029,float
VCF9030,float
VCF9030a,float
VCF9030b,float
VCF9030c,float
VCF9031,float
VCF9032,float
VCF9033,float
VCF9034,float
VCF9035,float
VCF9036,float
VCF9037,float
VCF9038,float
VCF9039,float
VCF9040,float
VCF9041,float
VCF9042,float
VCF9043,float
VCF9043a,float
VCF9044,float
VCF9044a,float
VCF9045,float
VCF9046,float
VCF9047,float
VCF9048,float
VCF9049,float
VCF9050,float
VCF9051,float
VCF9052,float
VCF9053,float
VCF9054,float
VCF9055,float
VCF9056,float
VCF9057,float
VCF9058,float
VCF9059,float
VCF9060,float
VCF9061,float
VCF9062,float
VCF9063,float
VCF9064,float
VCF9065,float
VCF9066,float
VCF9067,float
VCF9069,float
VCF9070,float
VCF9071,float
VCF9072,float
VCF9073,float
VCF9074,float
VCF9075,float
VCF9076,float
VCF9077,float
VCF9078,float
VCF9079,float
VCF9080,float
VCF9081,float
VCF9082,float
VCF9083,float
VCF9084,float
VCF9085,float
VCF9086,float
VCF9087,float
VCF9088,float
VCF9089,float
VCF9090,float
VCF9091,float
VCF9092,float
VCF9093,float
VCF9094,float
VCF9095,float
VCF9096,float
VCF9097,float
VCF9098,float
VCF9099,float
VCF9100,float
VCF9101,float
VCF9102,float
VCF9103,float
VCF9104,float
VCF9105,float
VCF9106,float
VCF9107,float
VCF9108,float
VCF9109,float
VCF9110,float
VCF9111,float
VCF9112,float
VCF9113,float
VCF9114,float
VCF9115,float
VCF9116,float
VCF9117,float
VCF9118,float
VCF9119,float
VCF9120,float
VCF9121,float
VCF9122,float
VCF9123,float
VCF9124,float
VCF9125,float
VCF9131,float
VCF9132,float
VCF9133,float
VCF9134,float
VCF9149,float
VCF9150,float
VCF9151,float
VCF9152,float
VCF9153,float
VCF9154,float
VCF9155,float
